method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,0,42889,171556,69,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,43893,175572,70,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,0,44520,178080,71,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,45062,180248,72,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,0,45716,182864,73,320.0,1.336251250018116
DreamerV3,official_size12m,Alien,0,46438,185752,74,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,0,47235,188940,75,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,0,47751,191004,76,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,0,48494,193976,77,930.0,10.17695908636357
DreamerV3,official_size12m,Alien,0,49022,196088,78,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,49682,198728,79,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,50600,202400,80,950.0,10.466818359686373
DreamerV3,official_size12m,Alien,0,51271,205084,81,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,0,52237,208948,82,630.0,5.829069986521544
DreamerV3,official_size12m,Alien,0,52972,211888,83,1020.0,11.481325816316179
DreamerV3,official_size12m,Alien,0,53694,214776,84,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,54169,216676,85,370.0,2.0608994333251207
DreamerV3,official_size12m,Alien,0,54913,219652,86,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,55564,222256,87,950.0,10.466818359686373
DreamerV3,official_size12m,Alien,0,56331,225324,88,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,0,57086,228344,89,610.0,5.5392107131987425
DreamerV3,official_size12m,Alien,0,57696,230784,90,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,0,58436,233744,91,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,59265,237060,92,640.0,5.973999623182945
DreamerV3,official_size12m,Alien,0,60102,240408,93,550.0,4.669632893230337
DreamerV3,official_size12m,Alien,0,60771,243084,94,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,61414,245656,95,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,0,62208,248832,96,1010.0,11.336396179654779
DreamerV3,official_size12m,Alien,0,62837,251348,97,990.0,11.046536906331976
DreamerV3,official_size12m,Alien,0,63657,254628,98,510.0,4.089914346584734
DreamerV3,official_size12m,Alien,0,64367,257468,99,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,0,65066,260264,100,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,0,65666,262664,101,440.0,3.075406889954927
DreamerV3,official_size12m,Alien,0,66382,265528,102,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,0,67134,268536,103,580.0,5.10442180321454
DreamerV3,official_size12m,Alien,0,67966,271864,104,1070.0,12.205973999623184
DreamerV3,official_size12m,Alien,0,68793,275172,105,440.0,3.075406889954927
DreamerV3,official_size12m,Alien,0,69541,278164,106,600.0,5.394281076537341
DreamerV3,official_size12m,Alien,0,70526,282104,107,480.0,3.655125436600531
