condition,task,bin_index,env_frame_start,env_frame_end,env_frame_mid,seed_count,mean_return,std_return
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,1,13333,26666,20000,1,1.1,0.0
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,2,26666,40000,33333,1,2.0,0.0
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,3,40000,53333,46666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,4,53333,66666,60000,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,5,66666,80000,73333,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,6,80000,93333,86666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,7,93333,106666,100000,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,8,106666,120000,113333,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,9,120000,133333,126666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,10,133333,146666,140000,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,11,146666,160000,153333,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,12,160000,173333,166666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,13,173333,186666,180000,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,14,186666,200000,193333,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,15,200000,213333,206666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,16,213333,226666,220000,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,17,226666,240000,233333,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,18,240000,253333,246666,0,,
smoke-hts-full-breakout-seed1-10000steps-p0-smoke-10k,Breakout,19,253333,266666,260000,0,,
